Лист;Строка;Тип связи;Книги;Номера деталей;Отметки источника;Комментарий
WK-20;84;Прямая замена по строке;K1623 ↔ K1626;K1601.04.03.00 ↔ K1601.04.01;;
WK-20;85;Прямая замена по строке;K1623 ↔ K1626;K1601.04.01 ↔ K1601.04.02;;
WK-20;86;Прямая замена по строке;K1623 ↔ K1626;K1601.04.02 ↔ K1601.04.03;;
WK-20;87;Прямая замена по строке;K1623 ↔ K1626;K1601.04.03 ↔ GB/T5783;;
WK-20;88;Прямая замена по строке;K1623 ↔ K1626;GB/T5783 ↔ NL24;;
WK-20;89;Прямая замена по строке;K1623 ↔ K1626;NL24 ↔ GB/T6170;;
WK-20;90;Прямая замена по строке;K1623 ↔ K1626;GB/T6170 ↔ K1601.04.04.00;;
WK-20;91;Прямая замена по строке;K1623 ↔ K1626;K1601.04.04.00 ↔ GB/T882;;
WK-20;92;Прямая замена по строке;K1623 ↔ K1626;GB/T882 ↔ GB/T91;;
WK-20;94;Прямая замена по строке;K1623 ↔ K1626;K1619.05.00 ↔ K1626.05.00;;
WK-20;95;Прямая замена по строке;K1623 ↔ K1626;K1601.05.01.00 ↔ K1626.05.01.00;;
WK-20;96;Прямая замена по строке;K1623 ↔ K1626;K1601.05.02.00 ↔ K1601.05.02.00A;;Взаимозаменяемы в целом, последняя производственная модель — CK1601.05.02.00, требования к технологии производства и изготовления.
WK-20;97;Прямая замена по строке;K1623 ↔ K1626;K1601.05.03.00 ↔ K1601.05.03.00A;;Взаимозаменяемы в целом, последняя производственная модель — CK1601.05.02.00, требования к технологии производства и изготовления.
WK-20;98;Одинаковый номер;K1623 ↔ K1626;K1602.05.04.00 ↔ K1602.05.04.00;Да;Взаимозаменяемы в целом, последняя производственная модель — CK1643.05.04.00, общая оптимизация.
WK-20;99;Прямая замена по строке;K1623 ↔ K1626;K1604.05.05.00 ↔ K1626.05.05.00;;Взаимозаменяемы в целом, последняя производственная модель — K1626.05.05.00, требования к технологии производства и изготовления.
WK-20;100;Прямая замена по строке;K1623 ↔ K1626;K1601.05.06.00 ↔ K1626.05.06.00;;Взаимозаменяемы в целом, последняя производственная модель — K1643.05.06.00, общая оптимизация.
WK-20;101;Прямая замена по строке;K1623 ↔ K1626;K1602.05.07.00 ↔ K1626.05.07.00;;Взаимозаменяемы в целом, последняя производственная модель — K1636.05.07.00, требования к технологии производства и изготовления.
WK-20;102;Прямая замена по строке;K1623 ↔ K1626;K1602.05.08.00 ↔ K1626.05.08.00;;Взаимозаменяемы в целом, последняя производственная модель — K1602.05.08.00.
WK-20;103;Одинаковый номер;K1623 ↔ K1626;K1602.05.04 ↔ K1602.05.04;Да;
WK-20;104;Прямая замена по строке;K1623 ↔ K1626;K1601.05.09.00 ↔ K1601.05.05;;
WK-20;105;Одинаковый номер;K1623 ↔ K1626;K1604.05.01 ↔ K1604.05.01;Да;
WK-20;106;Одинаковый номер;K1623 ↔ K1626;K1602.05.03 ↔ K1602.05.03;Да;
WK-20;107;Одинаковый номер;K1623 ↔ K1626;K1604.05.02 ↔ K1604.05.02;Да;
WK-20;108;Одинаковый номер;K1623 ↔ K1626;K1601.05.04 ↔ K1601.05.04;Да;
WK-20;109;Прямая замена по строке;K1623 ↔ K1626;K1601.05.05 ↔ GB/T5781;;
WK-20;110;Прямая замена по строке;K1623 ↔ K1626;GB/T5781 ↔ GB/T93;;
WK-20;111;Прямая замена по строке;K1623 ↔ K1626;GB/T93 ↔ TZQ7310.02.00;;
WK-20;112;Прямая замена по строке;K1623 ↔ K1626;TZQ7310.02.00 ↔ K1601.05.06;;
WK-20;113;Прямая замена по строке;K1623 ↔ K1626;K1601.05.06 ↔ K1619.05.11.00;;
WK-20;114;Прямая замена по строке;K1623 ↔ K1626;K1619.05.11.00 ↔ K1602.05.05;;
WK-20;115;Прямая замена по строке;K1623 ↔ K1626;K1602.05.05 ↔ K1602.05.06;;
WK-20;116;Прямая замена по строке;K1623 ↔ K1626;K1602.05.06 ↔ K1602.05.07;;
WK-20;117;Прямая замена по строке;K1623 ↔ K1626;K1602.05.07 ↔ K1604.05.08;;
WK-20;118;Прямая замена по строке;K1623 ↔ K1626;K1619.05.00-01 ↔ K1626.05.09;;
WK-20;119;Прямая замена по строке;K1623 ↔ K1626;K1604.05.08 ↔ K1626.05.11;;
WK-20;120;Одинаковый номер;K1623 ↔ K1626;K1623.06.00 ↔ K1623.06.00;Да;
WK-20;121;Одинаковый номер;K1623 ↔ K1626;K1601.06.01.00 ↔ K1601.06.01.00;Да;
WK-20;122;Одинаковый номер;K1623 ↔ K1626;K1613.06.02.00 ↔ K1613.06.02.00;Да;
WK-20;123;Одинаковый номер;K1623 ↔ K1626;K1605.06.07.00 ↔ K1605.06.07.00;Да;
WK-20;124;Прямая замена по строке;K1623 ↔ K1626;K1601.06.10.00 ↔ K1601.06.08.00;;
WK-20;125;Прямая замена по строке;K1623 ↔ K1626;K1601.06.08.00 ↔ K1601.06.10.00;;
WK-20;126;Одинаковый номер;K1623 ↔ K1626;K1623.06.11.00 ↔ K1623.06.11.00;Да;Последняя производственная модель — K1643.06.11.00, универсальная, требования к технологии производства и изготовления.
WK-20;127;Одинаковый номер;K1623 ↔ K1626;K1601.06.01 ↔ K1601.06.01;Да;
WK-20;128;Одинаковый номер;K1623 ↔ K1626;K1618.06.02 ↔ K1618.06.02;Да;
WK-20;129;Одинаковый номер;K1623 ↔ K1626;GB/T5783 ↔ GB/T5783;Да;
WK-20;130;Одинаковый номер;K1623 ↔ K1626;GB/T5783 ↔ GB/T5783;Да;
WK-20;131;Одинаковый номер;K1623 ↔ K1626;GB/T93 ↔ GB/T93;Да;
WK-20;132;Одинаковый номер;K1623 ↔ K1626;K1623.06.11.01.00 ↔ K1623.06.11.01.00;Да;
WK-20;133;Прямая замена по строке;K1623 ↔ K1626;K1605.07.00 ↔ K1626.07.00;;
WK-20;134;Одинаковый номер;K1623 ↔ K1626;K1605.07.01.00 ↔ K1605.07.01.00;Да;Последняя производственная модель — K1643.07.01.00, требования к технологии производства и изготовления.
WK-20;135;Одинаковый номер;K1623 ↔ K1626;K1605.07.02.00 ↔ K1605.07.02.00;Да;Последняя производственная модель — CK1605.07.02.00, требования к технологии производства и изготовления.
WK-20;136;Прямая замена по строке;K1623 ↔ K1626;K1602.07.03.00 ↔ K1626.07.03.00;;
WK-20;137;Прямая замена по строке;K1623 ↔ K1626;K1601.07.01 ↔ MB224;;
WK-20;138;Прямая замена по строке;K1623 ↔ K1626;K1601.07.02 ↔ K1601.07.01;;
WK-20;139;Прямая замена по строке;K1623 ↔ K1626;JB/ZQ4321 ↔ K1601.07.02;;
